ID_PV;EL_Filename;Rated_Power;Vmp_V;Imp_A;Voc_V;Isc_A;Crack_Type;Severity_Level;Power_Loss;Actual_Power;Crack_Area;HotSpot_Area;Edge_Damage;Num_Cracks;Inspection_Date;EL_FilePath;Data_Source
PV-001;220331100950922_0000000000000219;310;32.06.00;09.51;40.02.00;0,431944444;Inactive_Cluster+Physical_Damage;Critical;25;232;31.02.00;68.05.00;1;14200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331100950922_0000000000000219.jpg;Real_Inspection
PV-002;220331101146248_0000000000000220;310;32.06.00;09.51;40.02.00;0,431944444;Partial_Crack+Tree_Branch;Moderate;5;294;26.04.00;71.08.00;0;7800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331101146248_0000000000000220.jpg;Real_Inspection
PV-003;220331102756987_0000000000000221;310;32.06.00;09.51;40.02.00;0,431944444;Horizontal_Band+Inter_Cell_Crack;Severe;12;273;28.09.00;70.02.00;0;12500;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331102756987_0000000000000221.jpg;Real_Inspection
PV-004;220331103231024_0000000000000223;310;32.06.00;09.51;40.02.00;0,431944444;Inactive_Fragment+Delamination;Severe;10;279;26.08.00;71.05.00;0;11800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331103231024_0000000000000223.jpg;Real_Inspection
PV-005;220331103427675_0000000000000224;310;32.06.00;09.51;40.02.00;0,431944444;Tree_Branch_Crack;Moderate;5;294;27.09.00;71.02.00;0;6200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331103427675_0000000000000224.jpg;Real_Inspection
PV-006;220331103555481_0000000000000225;310;32.06.00;09.51;40.02.00;0,431944444;Linear_Crack_Scattered;Moderate;5;294;27.04.00;74.01.00;0;5100;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331103555481_0000000000000225.jpg;Real_Inspection
PV-007;220331104752236_0000000000000231;310;32.06.00;09.51;40.02.00;0,431944444;Minor_Crack_Partial_Inactive;Minor;3;301;28.06.00;73;0;3800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331104752236_0000000000000231.jpg;Real_Inspection
PV-008;220331105126636_0000000000000233;310;32.06.00;09.51;40.02.00;0,431944444;Dark_Spot_Scattered;Moderate;5;294;27.02.00;73.08.00;0;5500;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331105126636_0000000000000233.jpg;Real_Inspection
PV-009;220331105404598_0000000000000234;310;32.06.00;09.51;40.02.00;0,431944444;Minor_Inactive_Fragment;Minor;2;304;28.01.00;72.06.00;0;2900;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331105404598_0000000000000234.jpg;Real_Inspection
PV-010;220331113003413_0000000000000245;310;32.06.00;09.51;40.02.00;0,431944444;Delamination+Moisture_Suspect;Severe;14;267;25.09.00;71.08.00;1;9800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331113003413_0000000000000245.jpg;Real_Inspection
PV-011;220331135810127_0000000000000261;310;32.06.00;09.51;40.02.00;0,431944444;Diffuse_PID_Suspect;Moderate;6;291;28.03.00;73.04.00;0;7200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331135810127_0000000000000261.jpg;Real_Inspection
PV-012;220331135919037_0000000000000262;310;32.06.00;09.51;40.02.00;0,431944444;Minimal_Column_Boundary;Minor;1;307;27.01.00;72.05.00;0;1500;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331135919037_0000000000000262.jpg;Real_Inspection
PV-013;220331140221268_0000000000000264;310;32.06.00;09.51;40.02.00;0,431944444;Diffuse_Blob+Shunting;Severe;18;254;26.05.00;71.02.00;0;13400;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331140221268_0000000000000264.jpg;Real_Inspection
PV-014;220331140350458_0000000000000265;310;32.06.00;09.51;40.02.00;0,431944444;Cluster_Blob+Ribbon_Degradation;Severe;12;273;28.01.00;73.03.00;0;10200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331140350458_0000000000000265.jpg;Real_Inspection
PV-015;220331140702989_0000000000000267;310;32.06.00;09.51;40.02.00;0,431944444;PID_Suspect_Diffuse;Moderate;10;279;29.01.00;73.06.00;0;8800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331140702989_0000000000000267.jpg;Real_Inspection
PV-016;220331140902530_0000000000000268;310;32.06.00;09.51;40.02.00;0,431944444;Horizontal_Band_Crack;Severe;15;264;29.09.00;72.05.00;0;12600;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331140902530_0000000000000268.jpg;Real_Inspection
PV-017;220331141020848_0000000000000269;310;32.06.00;09.51;40.02.00;0,431944444;Multi_Mode+Physical_Damage;Critical;25;232;25.02.00;73.03.00;1;18500;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331141020848_0000000000000269.jpg;Real_Inspection
PV-018;220331141150586_0000000000000271;310;32.06.00;09.51;40.02.00;0,431944444;Localized_Substing_Failure;Moderate;6;291;28.02.00;74.01.00;0;5800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331141150586_0000000000000271.jpg;Real_Inspection
PV-019;220331141314829_0000000000000272;310;32.06.00;09.51;40.02.00;0,431944444;Upper_Zone_Crack_Cluster;Moderate;6;291;27.03.00;70.09.00;0;6100;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331141314829_0000000000000272.jpg;Real_Inspection
PV-020;220331141439948_0000000000000273;310;32.06.00;09.51;40.02.00;0,431944444;Minor_Scattered_Spots;Minor;3;301;28;70.08.00;0;2200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331141439948_0000000000000273.jpg;Real_Inspection
PV-021;220331141602614_0000000000000274;310;32.06.00;09.51;40.02.00;0,431944444;Asymmetric_Horizontal_Bands;Moderate;10;279;25.05.00;73.06.00;0;9500;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331141602614_0000000000000274.jpg;Real_Inspection
PV-022;220331141734342_0000000000000275;310;32.06.00;09.51;40.02.00;0,431944444;Minimal_Scattered;Minor;3;301;29.09.00;71.03.00;0;1800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331141734342_0000000000000275.jpg;Real_Inspection
